"Estacion","Temperatura","Vel_viento","Temp_max","Temp_min","Precipitacion","Fecha"
693774,31.6111111111111,7.5932,34,22.2777777777778,0,2014-01-29
693774,28.2222222222222,3.8892,33.6111111111111,24.3888888888889,0,2014-01-30
693774,27.5,2.778,32.7777777777778,23.7222222222222,0,2014-01-31
693774,28.5,3.8892,34.7222222222222,23,0,2014-02-01
693774,28.0555555555556,3.5188,34.5,21,0,2014-02-02
693774,28.4444444444444,2.4076,34.8888888888889,22.8888888888889,0,2014-02-03
693774,27.4444444444444,2.9632,32.6111111111111,22.2777777777778,0.254,2014-02-04
693774,27.2222222222222,2.778,32.7222222222222,23.7222222222222,0,2014-02-05
693774,28,3.1484,31.2222222222222,23.7777777777778,2539.746,2014-02-06
693774,27,4.2596,32.5,22.7777777777778,2539.746,2014-02-07
693774,27.7222222222222,4.2596,34.5,23.7222222222222,0.508,2014-02-08
693774,27.4444444444444,3.5188,35.2777777777778,19.7222222222222,0,2014-02-09
693774,28.7777777777778,3.8892,35.7222222222222,23.1111111111111,0.254,2014-02-10
693774,28.6111111111111,3.5188,34.8888888888889,23.7777777777778,0.254,2014-02-11
693774,28.4444444444444,3.1484,35.2222222222222,23,0,2014-02-12
693774,26,1.2964,28.3888888888889,22,0.254,2014-02-13
693774,33.2222222222222,7.408,35.2222222222222,30.2777777777778,0,2014-02-14
693774,29.4444444444444,4.63,36.6111111111111,22,0.254,2014-02-15
693774,28.9444444444444,4.4448,35.6111111111111,23.7222222222222,1.524,2014-02-16
693774,28.8888888888889,3.5188,35.7777777777778,22.1111111111111,0.508,2014-02-17
693774,29.6111111111111,3.3336,35.8888888888889,25,0,2014-02-18
693774,28.6666666666667,2.9632,34.6111111111111,24,0.508,2014-02-19
693774,29.6666666666667,4.2596,35.5,25,0.254,2014-02-20
693774,29.1111111111111,3.8892,34.6111111111111,25.1111111111111,2.286,2014-02-21
693774,28.6666666666667,2.9632,35.2777777777778,23.8888888888889,0.508,2014-02-22
693774,29.5,4.2596,35.7777777777778,23.6111111111111,0.508,2014-02-23
693774,29.4444444444444,2.5928,34.8888888888889,25.5,0.254,2014-02-24
693774,28.0555555555556,4.63,34.6111111111111,23.6111111111111,0,2014-02-25
693774,27.5,3.1484,32.7777777777778,22,2539.746,2014-02-26
693774,24.5,2.5928,29.7222222222222,22.3888888888889,0,2014-02-27
693774,25.3333333333333,3.1484,31.8888888888889,20.8888888888889,0,2014-02-28
693774,26.2222222222222,3.1484,33.7222222222222,21.7222222222222,0.508,2014-03-01
693774,23.5555555555556,2.778,26.7222222222222,22.7777777777778,0,2014-03-02
693774,29.6666666666667,3.8892,33.1111111111111,24.1111111111111,0,2014-03-03
693774,27.0555555555556,1.6668,31.7222222222222,24.2777777777778,0.254,2014-03-04
693774,27.5,2.2224,33.1111111111111,24.2222222222222,0,2014-03-05
693774,27.3333333333333,2.4076,31.6111111111111,23.5,0.254,2014-03-06
693774,27.2777777777778,3.5188,34,22.7222222222222,0.508,2014-03-07
693774,27.1111111111111,3.704,33.2222222222222,22.3888888888889,0,2014-03-08
693774,26.9444444444444,3.1484,32.3888888888889,22,0.508,2014-03-09
693774,25.6666666666667,2.778,32.7222222222222,21.6111111111111,0,2014-03-10
693774,27.7222222222222,2.9632,33.2222222222222,24,2539.746,2014-03-11
693774,28.0555555555556,2.5928,33.7777777777778,24.1111111111111,0,2014-03-12
693774,27.8333333333333,2.9632,33.3888888888889,24,0,2014-03-13
693774,26.4444444444444,4.0744,34,21.8888888888889,2539.746,2014-03-14
693774,25.1666666666667,2.2224,29.7222222222222,20,2539.746,2014-03-15
693774,26.7222222222222,2.4076,32.6111111111111,23.7222222222222,2539.746,2014-03-16
693774,28.2222222222222,3.704,33.6111111111111,23,2539.746,2014-03-17
693774,28.7222222222222,3.3336,34.6111111111111,24.6111111111111,2539.746,2014-03-18
693774,27.2777777777778,4.2596,33.2222222222222,23,0,2014-03-19
693774,27.5,3.5188,33.7777777777778,23,0,2014-03-20
693774,28.8888888888889,3.3336,35.2222222222222,23.8888888888889,0.254,2014-03-21
693774,27.6666666666667,4.63,33.2222222222222,22.6111111111111,0,2014-03-22
693774,23.3333333333333,2.5928,25.7222222222222,21,0,2014-03-23
693774,26.1111111111111,2.778,32.7222222222222,21.6111111111111,2539.746,2014-03-24
693774,24.7222222222222,3.1484,31.8888888888889,20.7222222222222,2539.746,2014-03-25
693774,25.5555555555556,3.3336,32.2777777777778,21,0.254,2014-03-26
693774,25.2222222222222,1.6668,33.2222222222222,20,0,2014-03-27
693774,27.2222222222222,2.778,32.7222222222222,22.3888888888889,0.254,2014-03-28
693774,28,2.5928,34.7222222222222,23.7777777777778,0.762,2014-03-29
693774,28.0555555555556,2.5928,34.5,22.2222222222222,0.254,2014-03-30
693774,29.2222222222222,3.1484,36.1111111111111,24,0,2014-03-31
693774,28.3333333333333,2.778,34.5,22.7777777777778,2539.746,2014-04-01
693774,26.3333333333333,3.1484,31.6111111111111,21,0.254,2014-04-02
693774,25.7222222222222,2.778,30.2222222222222,21.5,0.254,2014-04-03
693774,25.9444444444444,2.2224,33.3888888888889,21,0,2014-04-04
693774,24.6111111111111,4.0744,30.6111111111111,20,0,2014-04-05
693774,26.5555555555556,1.852,33.6111111111111,22,2539.746,2014-04-06
693774,26.4444444444444,3.3336,34.2222222222222,20,2539.746,2014-04-07
693774,25,3.3336,33.2777777777778,22,2539.746,2014-04-08
693774,26.7777777777778,2.778,33.3888888888889,22.8888888888889,4.318,2014-04-09
